Altium Designer Pick and Place Locations
C:\Users\jithe\OneDrive\Documents\JITHU\PCB\Altium_PCB_Projects\Golden_Arduino\Project Outputs for Golden_Arduino\Pick Place for PCB1_backup1.csv

========================================================================================================================
File Design Information:

Date:       06-03-24
Time:       15:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C8","C_22uF_1206","TopLayer","1206_Passive_Capacitor","1650.000","705.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"R9","1M","TopLayer","1206_Passive_Resitor","1850.000","970.000","180","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R8","1M","TopLayer","1206_Passive_Resitor","1690.000","1760.000","0","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"C19","22uF","TopLayer","1206_Passive_Capacitor","265.000","990.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C18","22uF","TopLayer","1206_Passive_Capacitor","265.000","1330.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C17","1uF","TopLayer","1206_Passive_Capacitor","995.000","715.000","225","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","1636.968","995.000","90","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"C15","10uF","TopLayer","1206_Passive_Capacitor","2060.000","2510.000","0","10uF ±10% 50V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"TP_D+","TP_D+","TopLayer","TP10x_Probe","2240.000","2205.000","0","Test Point 300 mil centers"
"U2","U_USBtoSerial","TopLayer","USB_to_serial","1785.000","2245.000","270","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"C6","C_22uF_1206","TopLayer","1206_Passive_Capacitor","1900.000","2560.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"TP_D-","TP_D-","TopLayer","TP10x_Probe","2240.000","2030.000","0","Test Point 300 mil centers"
"TP_Curr-","TP_Curr-","TopLayer","TP_Diff_Probe","515.000","2035.000","270","Test Point 300 mil centers"
"TP_Curr+","TP_Curr+","TopLayer","TP_Diff_Probe","790.000","2035.000","90","Test Point 300 mil centers"
"R7","R_500mOhm_1206","TopLayer","1206_Passive_Resitor","655.000","2060.000","90","Resistors/Shunt 250mW 500mO ±800ppm/? ±5% 1206  Current Sense  Resistors ROHS"
"R6","R_1K_1206","TopLayer","1206_Passive_Resitor","770.000","990.000","0","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"LED5","LED_RED_1206","TopLayer","LED_1206","995.000","990.000","180","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"J11","JF_6_PIN_FEMA_ARD-Anolog","TopLayer","6_PIN_ARD-Analog_100mil","380.000","350.000","270","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J10","JF_6_PIN_FEMALE","TopLayer","6_PIN_100MIL_-Female","80.000","350.000","90","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J9","JF_8_PIN_FEMA_ARD-Dig","TopLayer","8_PIN_ARD-DIG_100MIL","2280.000","450.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J8","JF_8_PIN_FEMALE","TopLayer","8_PIN_100MIL_-_Female","80.000","1150.000","90","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J7","JF_8_PIN_FEMA_ARD-Pwr","TopLayer","8_PIN_ARD-PWR_100MIL","380.000","1150.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J6","JF_8_PIN_FEMALE","TopLayer","8_PIN_100MIL_-_Female","2580.000","450.000","90","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J5","JF_10_PIN_FEMA_ARDUINO","TopLayer","10_PIN_ARDUINO_100MIL","2280.000","1410.000","270","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
