Altium Designer Pick and Place Locations
C:\Users\jithe\OneDrive\Documents\JITHU\PCB\Altium_PCB_Projects\Instrumentdroid\Project Outputs for Instrumentdroid\Pick Place for PCB1_backup1.csv

========================================================================================================================
File Design Information:

Date:       11-04-24
Time:       23:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C2","C_22uF_1206","BottomLayer","1206_Passive_Capacitor","660.000","1350.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"TP_BZ","10x Probe TP","TopLayer","TP_Diff_Probe","1420.000","1875.000","90","Test Point 300 mil centers"
"R19","4.7KOhm","TopLayer","1206_Passive_Resitor","520.000","1265.000","45","4.7kO ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R18","4.7KOhm","TopLayer","1206_Passive_Resitor","435.000","1360.000","45","4.7kO ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R2","100Ohm","TopLayer","1206_Passive_Resitor","1155.000","685.000","90","100O ±1% 0.25W ±100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"ICSP","NRPN032PAEN-RC","TopLayer","ICSP","365.000","2335.000","90","Connector Header Through Hole 6 position 0.079" (2.00mm)"
"TP_D-","10x Probe TP","TopLayer","TP_Diff_Probe","1065.000","2735.000","180","Test Point 300 mil centers"
"TP_D+","10x Probe TP","TopLayer","TP_Diff_Probe","1355.000","2735.000","0","Test Point 300 mil centers"
"TP_5V","10x Probe TP","TopLayer","TP_Diff_Probe","90.000","2335.000","90","Test Point 300 mil centers"
"J1","TSW-104-14-S-S","TopLayer","JM-4_TSW-104-14-S-S","735.000","2095.000","180","Square Pins 2.5mm 6mm -40?~+105? 1 4 3mm 2.54mm Black 1x4P Straight,P=2.54mm  Pin Headers ROHS"
"BZ","AT-1224-TWT-5V-2-R","TopLayer","BUZZER-_TH","1240.000","2440.000","0","Buzzers Transducer, Externally Driven Electromechanical/Magnetic 5 V 40mA 2.4kHz 87dB @ 5V, 10cm Through Hole PC Pins"
"R17","0 Ohm","BottomLayer","1206_Passive_Resitor","555.000","645.000","270","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS"
"R16","0 Ohm","BottomLayer","1206_Passive_Resitor","955.000","715.000","90","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","1146.968","1520.000","90","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"Y1","X_12MHz_Res","BottomLayer","Crystal_resonator","1150.000","2153.032","180","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"U4","DAC IC","BottomLayer","MCP4725","225.000","1525.000","270","IC DAC 12BIT V-OUT SOT23-6"
"U3","ADS1115IDGSR","BottomLayer","ADC_ADS1115IDGSR","210.000","1170.000","0","16-Bit ADC with Integrated MUX, PGA, Comparator, Oscillator, and Reference 10-VSSOP -40 to 125"
"U2","U_USBtoSerial","BottomLayer","USB_to_serial","910.000","2425.000","270","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"U1","U_ATMega328P","TopLayer","ATMega328P","745.682","1504.318","315","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"Tx","LED_RED_1206","TopLayer","LED_1206","645.000","2575.000","90","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"TP_Curr-1","TP_Curr-","TopLayer","TP_Diff_Probe","485.000","2840.000","90","Test Point 300 mil centers"
"TP_Curr+1","TP_Curr+","TopLayer","TP_Diff_Probe","760.000","2840.000","90","Test Point 300 mil centers"
"TP5","10x Probe TP","TopLayer","TP_Diff_Probe","845.000","75.000","0","Test Point 300 mil centers"
"V_current","10x Probe TP","BottomLayer","TP_Diff_Probe","1160.000","935.000","90","Test Point 300 mil centers"
"V_VRM","10x Probe TP","BottomLayer","TP_Diff_Probe","1415.000","935.000","90","Test Point 300 mil centers"
"DAC O/P","10x Probe TP","BottomLayer","TP_Diff_Probe","1160.000","1200.000","90","Test Point 300 mil centers"
"TP1","10x Probe TP","BottomLayer","TP_Diff_Probe","1415.000","1190.000","90","Test Point 300 mil centers"
"","MCP6002T-I/SN","BottomLayer","SOIC127P600X175-8N","535.000","1505.000","0","0.6 V/us 2 1MHz 1.8V ~ 6V 100µA General Purpose SOIC-8_150mil  Operational Amplifier ROHS"
"V_source","SW_3Pin_100mil_Switch","TopLayer","3_PIN_100mil","770.000","345.000","180","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"R_SENSE","SW_3Pin_100mil_Switch","TopLayer","3_PIN_100mil","1300.000","515.000","0","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"JACK","SW_3Pin_100mil_Switch","TopLayer","3_PIN_100mil","625.000","3125.000","0","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"Rx","LED_RED_1206","TopLayer","LED_1206","775.000","2575.000","90","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"RESET","SW_Push_Button_JLC","TopLayer","Switch_JLC","1390.000","3015.000","90","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R15","R_10K_1206","TopLayer","1206_Passive_Resitor","1010.000","200.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R14","1 Ohm","BottomLayer","1206_Passive_Resitor","1040.000","890.000","270","1O ±5% 0.25W ±400ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R13","10 Ohm","BottomLayer","1206_Passive_Resitor","870.000","895.000","90","CHIP RESISTOR - SURFACE MOUNT 0.1OHMS ±1% 1/4W 1206 ROHS"
"R12","10k","BottomLayer","1206_Passive_Resitor","445.000","830.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R11","10k","BottomLayer","1206_Passive_Resitor","685.000","830.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R10","10k","BottomLayer","1206_Passive_Resitor","575.000","1040.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R9","1M","TopLayer","1206_Passive_Resitor","1370.000","1520.000","90","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R8","Resistor 10k +/-1% 1206 250 mW","TopLayer","RESC3216X60X45ML15T20","1060.000","3100.000","270","Chip Resistor, 10 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)"
"R7","1M","BottomLayer","1206_Passive_Resitor","1135.000","1980.000","180","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R6","R_1K_1206","TopLayer","1206_Passive_Resitor","915.000","2370.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R5","R_1K_1206","TopLayer","1206_Passive_Resitor","775.000","2370.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R4","R_1K_1206","TopLayer","1206_Passive_Resitor","645.000","2370.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R3","R_1K_1206","TopLayer","1206_Passive_Resitor","330.000","2530.000","0","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R1","R_500mOhm_1206","TopLayer","1206_Passive_Resitor","620.000","2915.000","90","Resistors/Shunt 250mW 500mO ±800ppm/? ±5% 1206  Current Sense  Resistors ROHS"
"Q1","AO3400A","BottomLayer","N-MOSFET","760.000","1165.000","180","MOSFET N Trench 30V 5.7A 1.5V @ 250uA 26.5 m? @ 5.7A,10V SOT-23-3L RoHS"
"P3","Power Jack","TopLayer","Power_Jack","433.110","143.464","180","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"P2","2P Screw Terminal Block","TopLayer","P_Terminal_block_3.5mm-pitch","1320.000","180.000","90","Green Straight pin 3.5mm  pitch; P=3.5mm  Screw terminal ROHS"
"P1","P_Power Jack","TopLayer","Power_Jack","153.464","2796.890","90","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"D 13","LED_RED_1206","TopLayer","LED_1206","915.000","2575.000","270","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"L1","FB_10uH_1206","TopLayer","AIML-1206_ABR-M","570.000","1875.000","270","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS"
"J2","J_USB_B_Mini","BottomLayer","USB_MINI_B","1010.000","2950.000","0","Through Hole USB Connectors RoHS"
